PAIR of
Id1 Id2
25700 67833
25712 53491
25728 65890
25745 64261
25839 63688
25844 32219
25870 27252
25895 30281
25898 50664
25964 52926
25975 35234
25980 58634
26012 90540
26033 66271
26041 40940
26058 85482
26065 90060
26095 92188
26121 42526
26125 54417
26136 39543
26148 82513
26178 44999
26179 56656
26195 29098
26287 70218
26301 59346
26305 45480
26397 66207
26416 55767
26439 92182
26443 61818
26452 72979
26514 38516
26537 73765
26557 27309
26570 62259
26587 63506
26598 89101
26605 91112
26633 58462
26635 68401
26669 38186
26670 52426
26674 85665
26681 36588
26703 45352
26717 50131
26723 63807
26750 76613
26802 45719
26806 40329
26862 33778
26926 44961
26938 87661
27002 54881
27008 63555
27014 43003
27017 67063
27032 47572
27158 71544
27195 73350
27199 56865
27218 27775
27230 48508
27311 37473
27347 83778
27393 91310
27401 50833
27412 34059
27417 29961
27427 77090
27431 73285
27451 56009
27475 61354
27578 65702
27587 57997
27597 62017
27598 60802
27610 37457
27623 75795
27624 32727
27637 90476
27701 68704
27765 86162
27772 61033
27780 52730
27796 88205
27804 59496
27823 73901
27852 31910
27904 90402
27956 92657
27983 59843
28024 42648
28055 66309
28082 87078
28104 39270
28150 63924
28172 56901
28244 41783
28253 60749
28270 41334
28279 70114
28283 63416
28308 33872
28310 85497
28354 58656
28391 83211
28392 71098
28422 73737
28479 88638
28493 77618
28514 71208
28539 37353
28602 86427
28637 56729
28645 62438
28659 77190
28679 79784
28686 69662
28701 56126
28738 38045
28769 50590
28785 41136
28831 50389
28842 85637
28851 58239
28860 38561
28915 42559
28917 89943
28921 67942
28930 87486
28943 74455
28979 37609
29026 41175
29037 39413
29059 63695
29060 36553
29097 29416
29127 59662
29137 48767
29185 60728
29228 79159
29237 76853
29289 74564
29292 50924
29314 71964
29327 60465
29365 44620
29378 82562
29380 69221
29393 43926
29417 56598
29431 44491
29444 68950
29467 46776
29482 52453
29558 58135
29571 72010
29585 64247
29588 63370
29599 32638
29603 54666
29635 34586
29650 61086
29673 60735
29730 64824
29779 37159
29835 48268
29843 91839
29844 48082
29846 89252
29897 59739
29911 62942
29935 86186
29976 54581
30040 51785
30060 56864
30088 50041
30098 54398
30111 82580
30130 34454
30156 65371
30161 50667
30196 52817
30244 84315
30245 59991
30257 81953
30273 60072
30297 76202
30305 74085
30317 35754
30356 51499
30497 38688
30514 62070
30538 67608
30610 42367
30625 90472
30667 61239
30684 77916
30706 79741
30722 33671
30729 79995
30788 56397
30794 76665
30801 73673
30804 40918
30818 57480
30822 89461
30826 31884
30905 50750
30908 81504
30939 52215
30983 57696
30986 72388
31012 34186
31057 53655
31113 49371
31151 91813
31186 49840
31191 71567
31218 63007
31233 37540
31242 78680
31247 45289
31320 52042
31326 38287
31358 58103
31462 78692
31501 84333
31509 75056
31576 38774
31596 85186
31620 85641
31626 37953
31667 62302
31704 81761
31729 89310
31753 82206
31766 33273
31795 68884
31806 48738
31895 58039
31942 56222
31987 53732
32056 77258
32074 39813
32138 38183
32170 79226
32186 83849
32221 72004
32266 87010
32286 39410
32287 87304
32306 33595
32346 64918
32383 80030
32396 87932
32402 79753
32446 56311
32555 43140
32589 51498
32626 44821
32642 70441
32657 38584
32672 77944
32678 88262
32703 74501
32710 83167
32734 49276
32741 67726
32742 68121
32792 80485
32804 86934
32835 47479
32846 56946
32875 35286
32902 57597
32917 41498
32943 40309
32957 87300
32965 33471
32970 56422
33008 81355
33044 77775
33118 66546
33190 49693
33241 76300
33297 49676
33298 89000
33305 80024
33339 77848
33361 75450
33383 39571
33405 80504
33431 47459
33440 35650
33450 89702
33459 39228
33563 73953
33565 86847
33580 60354
33610 55101
33613 88556
33648 59577
33690 86827
33732 78747
33777 38209
33859 57172
33920 40825
33934 60926
33944 51289
33964 63683
33992 72233
34039 44761
34079 84577
34101 60377
34165 79988
34198 81861
34210 91928
34238 82089
34243 63568
34259 52118
34294 61843
34314 89895
34348 74521
34375 74348
34467 78782
34476 91154
34496 37566
34497 51176
34534 78634
34549 70996
34572 77978
34714 36650
34747 81854
34757 52098
34822 50656
34888 53212
34893 51833
34955 50775
35048 63810
35109 76592
35211 49195
35235 79251
35267 56312
35269 92862
35294 62082
35345 50711
35412 84812
35431 57725
35471 43871
35482 68670
35499 39620
35542 78955
35575 69950
35586 70601
35601 74342
35621 40537
35843 64653
35844 84408
35884 84646
35915 76129
35922 71103
35952 70152
36000 71352
36035 58268
36089 75419
36169 86009
36178 83832
36188 46274
36228 65564
36231 49661
36247 46240
36290 90302
36294 67928
36359 43273
36390 47903
36393 41928
36507 74131
36548 48441
36555 39035
36624 61602
36678 82566
36772 55948
36780 87775
36841 51810
36845 57951
36949 44252
36966 82918
36996 82519
37041 71883
37096 76709
37118 49619
37142 83937
37153 91439
37184 92129
37211 53432
37214 71944
37219 78663
37238 78181
37269 79618
37317 42998
37320 74138
37337 76845
37379 78800
37469 44851
37472 54458
37533 68612
37534 86179
37559 73724
37577 78169
37582 54851
37614 50069
37651 54480
37689 92015
37703 63703
37714 57903
37745 75022
37781 84193
37797 54763
